[Load Data] Load data from newsCorpora.csv
[Pre-Process] Did not find vocab.json
[Pre-Process] Now generating vocab.json
Max length of title: 14
Generating BOW representation...
[Pre-Process] Save BOW to local files
Accuracy: 0.396, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 10}
Maximum Accuracy!
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.396, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.396, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.342, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.340, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.390, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.340, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 10}
Maximum Accuracy!
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.442, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 10}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 1, 'n_estimators': 100}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 10}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 3, 'n_estimators': 100}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 10}
Accuracy: 0.424, Parameters: {'criterion': 'gini', 'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 5, 'n_estimators': 100}
Accuracy: 0.516, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 10}
Maximum Accuracy!
Accuracy: 0.532, Parameters: {'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}
Maximum Accuracy!
